iter	Passed	Remaining
0	28	28213
1	57	28859
2	85	28369
3	112	28128
4	139	27684
5	166	27521
6	193	27420
7	220	27372
8	250	27554
9	277	27514
10	306	27540
11	333	27487
12	360	27358
13	387	27269
14	418	27463
15	445	27410
16	472	27338
17	500	27304
18	528	27296
19	556	27280
20	585	27280
21	614	27319
22	641	27232
23	668	27187
24	696	27176
25	723	27116
26	752	27109
27	779	27069
28	806	27009
29	832	26930
30	862	26958
31	890	26928
32	917	26874
33	944	26826
34	972	26815
35	999	26772
36	1028	26761
37	1056	26736
38	1082	26683
39	1110	26660
40	1138	26625
41	1164	26558
42	1191	26517
43	1218	26476
44	1246	26451
45	1274	26439
46	1303	26437
47	1332	26421
48	1359	26384
49	1386	26344
50	1413	26294
51	1440	26263
52	1467	26229
53	1495	26202
54	1522	26164
55	1550	26145
56	1578	26106
57	1605	26081
58	1634	26069
59	1663	26057
60	1691	26038
61	1720	26031
62	1747	25992
63	1775	25964
64	1803	25943
65	1831	25913
66	1859	25887
67	1887	25868
68	1915	25838
69	1941	25799
70	1971	25791
71	2002	25815
72	2030	25778
73	2058	25754
74	2087	25751
75	2117	25745
76	2145	25719
77	2172	25683
78	2201	25661
79	2229	25637
80	2257	25608
81	2285	25581
82	2312	25549
83	2340	25524
84	2367	25489
85	2395	25455
86	2422	25419
87	2452	25417
88	2480	25389
89	2506	25347
90	2537	25350
91	2567	25345
92	2595	25316
93	2622	25274
94	2649	25242
95	2676	25207
96	2703	25166
97	2732	25150
98	2760	25125
99	2788	25098
100	2816	25069
101	2843	25033
102	2869	24989
103	2897	24966
104	2924	24930
105	2954	24919
106	2981	24885
107	3009	24855
108	3035	24816
109	3066	24813
110	3094	24785
111	3122	24753
112	3150	24726
113	3180	24721
114	3209	24701
115	3240	24692
116	3272	24698
117	3302	24683
118	3330	24655
119	3363	24667
120	3393	24651
121	3422	24630
122	3449	24596
123	3478	24571
124	3506	24544
125	3534	24514
126	3562	24487
127	3589	24453
128	3617	24426
129	3646	24405
130	3677	24395
131	3708	24382
132	3735	24348
133	3762	24313
134	3789	24282
135	3818	24255
136	3845	24225
137	3876	24213
138	3905	24191
139	3934	24168
140	3962	24137
141	3992	24124
142	4020	24093
143	4047	24059
144	4075	24031
145	4103	24000
146	4129	23965
147	4158	23938
148	4187	23916
149	4214	23883
150	4242	23855
151	4269	23818
152	4296	23785
153	4324	23754
154	4350	23716
155	4378	23690
156	4405	23657
157	4433	23628
158	4460	23593
159	4490	23573
160	4518	23547
161	4546	23515
162	4573	23484
163	4601	23458
164	4631	23436
165	4658	23403
166	4687	23379
167	4715	23352
168	4744	23328
169	4772	23299
170	4800	23272
171	4829	23247
172	4858	23226
173	4886	23194
174	4913	23162
175	4939	23124
176	4968	23103
177	4995	23069
178	5022	23036
179	5050	23008
180	5081	22991
181	5110	22968
182	5139	22945
183	5168	22919
184	5196	22892
185	5224	22862
186	5253	22840
187	5282	22815
188	5310	22787
189	5341	22769
190	5368	22740
191	5400	22727
192	5428	22697
193	5456	22670
194	5485	22643
195	5515	22623
196	5542	22592
197	5570	22563
198	5600	22540
199	5627	22509
200	5657	22489
201	5706	22544
202	5746	22559
203	5778	22548
204	5815	22552
205	5845	22531
206	5875	22508
207	5904	22484
208	5936	22467
209	5966	22446
210	6000	22438
211	6031	22417
212	6062	22399
213	6093	22380
214	6124	22363
215	6155	22342
